Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will write and design a printable detective game,https://www.fiverr.com/katakatica/write-and-design-a-printable-detective-game?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=1&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=d936a73a-a517-4b17-bfc4-60d2a75ee889,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/413362977/original/7fa4bba0d52880625155cb0bc19f21d593445b6b/write-and-design-a-printable-detective-game.jpg",,"Detective games are all the rage right now! Whether they contain clues only, or have your players solve small puzzles to get bits and pieces of new information, they are getting more and more popular each day!

Each case, as you already know, is unique and needs countless hours of planning to be just perfect. That's where I come into the picture!

I'm Kata, a narrative designer/game writer. I love a good mystery to solve - and a fun culprit to catch.

By purchasing this gig, you will get everything (but the art (e.g. pictures, card designs, etc.) you will need to publish your very own detective game. As a recap, here is what you will get:

* In-depth description of the story: characters, plot, motives and more
* Puzzles and evidence (or red herrings). Each potential culprit COULD be guilty... but only one of them has a false alibi!
* Information for the artist: what to draw (or create), how - and more!
* Scripts for voice recordings, 'websites' and letters!
* Support through the process: you will receive at least four updates during development!

Would you like to know more? Feel free to write to me to arrange a quick consultation! Let's work together to crack this case!","**The full package** Up to 8000 words including:
character backgrounds, all clues needed to solve the case, script",1000.0
I will review and refine your creative writing,https://www.fiverr.com/jefocles/proofread-and-edit-your-creative-writing?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=2&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=03cd3555-dae8-449a-899d-55d84f8b1ee9,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/155920634/original/ea7c98359672b659c2ab84f75e1136e95a197267/proofread-and-edit-your-creative-writing.png",500,"I am an award-winning creative writer with over 30 years experience.

I will review and refine your writing, or help you improve your content.

Do you want help expanding your writing or your sample?

* **Creative Writing**
* **Fiction**
* **Sci-Fi**
* **Poetry**
* **Free Association**
* **Scripts**
* **Letters**
* **Personal History**
* **Personal Story**
* **Bio**
* **Story Concept**
* **Summary**
* **Content**
* **Blog Post**
* **Brand Story**
* **and more!**

Send a message and let's get started discussing how to expand and refine your writing.

**Please, do not place an order without first discussing the parameters of the project.**

**\*NOTE: I will not accept any request for academic assignments or school work.**",I will review and revise your writing. Up to 500 words.,100.0
"I will design bespoke escape room concepts, puzzles and gameplay",https://www.fiverr.com/alexsouter/design-bespoke-escape-room-concepts-puzzles-and-gameplay?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=3&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=82d44df3-3651-4830-a359-6b4c48ea9ebd,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/343096683/original/4c9ff022ab073587df4a46afbf5635b157945fb0/design-bespoke-escape-room-concepts-puzzles-and-gameplay.png",Puzzle Starter,"Escape Room Puzzle & Gameplay Design Expertise ️

Dive into captivating escape room experiences with a 7-year industry veteran. With 60+ unique escape rooms designed, both physical and online, I offer unmatched expertise in crafting riveting escape challenges.

Why Me?

Proven Track Record: 30+ physical and 30 online escape adventures.

Tailored Design: Puzzles aligning perfectly with your theme and narrative.

Tech-Savvy: Seamless integration of electronics for an immersive feel.

Packages:

1. Puzzle Starter: Perfect for a unique standalone challenge.
2. Connected Puzles: Interconnected puzzles with a rich storyline.
3. Complete Escape Blueprint: Comprehensive design with puzzles, story, and tech combined.

Ready to transform your escape room concept into a mesmerizing reality? Partner with an expert and elevate your players' experience. Let's create escape magic! ️

Before Placing an Order: We highly recommend messaging us prior to ordering. This ensures we align on your vision and can design an experience that's just right for you. Our primary goal is to meet your needs perfectly, so a brief chat can make all the difference. Let's ensure we're the perfect fit for your escape room ambitions!","Perfect for those new to escape rooms or seeking a single, high-quality puzzle challenge.",60.0
I will write creative video games storylines dialogue debates dialogue character lore,https://www.fiverr.com/rebekies_pen/write-creative-video-games-storylines-dialogue-debates-dialogue-character-lore?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=5&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&fiverr_choice=true&imp_id=4424986b-7bdc-4f56-acbb-079b42322cb9,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/408939010/original/7c9fee9b7136ddec70e98fc980eda9b6f2e59589/write-creative-video-games-storylines-dialogue-debates-dialogue-character-lore.png",,"**Hello There,**

Are you looking for a compelling and interactive game dialogue, storylines dialogue, or debates dialogue for your players, readers, and listeners? Quest accepted, Hero!

I'm Rebekies, a professional Video game writer, Debates writer and storyline creator, I have vast years of experience in in crafting compelling or interactive storylines, character dialogue, quest write-up, item description, scriptwriting, outlining content, etc.

**MY GIG FEATURES:-**

* Anime fanfiction dialogue writer
* Game fanfiction storylines
* SFW and NSFW scripts
* World-building for anime and games
* NSFW game writing
* Character dialogue for games
* Fanfiction game scriptwriter
* Anime-inspired world-building
* Fantasy game world creation
* Game narrative writing services
* Plot writing for game
* Sci-fi and fantasy game writing
* Role-playing game writing
* Interactive game plot development
* Dialogue writing for RPGs
* Erotic anime scripts
* Anime game script development
* In-depth game narrative creation

**What you get:**

* Compelling and Interactive work
* Brainstorming assistance to improve and expand on YOUR ideas; and
* Attention to detail to get the ideas just right!

**What Are You Waiting For? Order Now!**

**Best, Rebekies**",**Conversation** I will write 500 words of dialogue and dialogue options for your game/NPCs,15.0
I will write creative video game storyline dialogue debates dialogue character lore rpg,https://www.fiverr.com/sadrathomask/creative-writer-cinematic-video-games-storylines-character-lore-debates-dialogue?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=6&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=edcf753b-875e-40ec-8435-457add2a2d59,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/447167086/original/9708692765dfd2f4beec561d31c3d31f32e727f7/creative-writer-cinematic-video-games-storylines-character-lore-debates-dialogue.jpg",Basic Creative Writing,"**Hello Game Developer!**

**﻿**

Every player remembers a story that feels alive. Not just quests or missions, but words that hit deep, characters that breathe and worlds that stay with them long after the credits roll. That's what I write.

**I write video game storylines, dialogue, debates, and lore that make players care. Whether your game is Fantasy, Sci-fi, romance or mystery, I build scenes that move naturally with emotions that feel real. Each line of dialogue reveals something; a fear, a secret, a spark that keeps the story going**

**MY GIG!**

* Cinematic Video Game Storyline
* Character Profiles and Development
* Dialogue between Characters and NPCs
* Cinematic Lua Script Creation / Editing / Finalizing
* Minigame Idea Procurement
* Narrative Branching
* Quest Design (initial, turn-ins, end text, reward)
* Tutorials (in-game and/or on website)
* World Building (Lore, Races, Shops, Maps, etc.)
* Bestiaries, Classes, Skills, etc.
* Weapon & Item Descriptions
* Fantasy *(D&D, Pathfinder)*
* Sci-Fi *(Starfinder, Numenera)* Horror
* Modern/Dystopic fiction *(CyberPunk)*
* Custom Roblox Scripting
* Lua Scripting

**ORDER NOW!** to get started","Write 500 words of dialogue, storylines, quests, debate dialogue & character lore for your game/NPCs",15.0
"I will write your erotic fantasies, fanfic, erotica, nsfw erotic story writing",https://www.fiverr.com/courtneyhansonn/write-erotic-story-nsfw-erotic-writing-anime-fanfiction-erotica-ghostwriter?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=7&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=0d08539a-546d-4db9-b3b9-e0746fa29c24,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/387940534/original/55e175d00041d0ea0b3268c0f7cf559271f3a935/write-erotic-story-nsfw-erotic-writing-anime-fanfiction-erotica-ghostwriter.jpg",BASIC,"**Nothing irritates or offends me so get in touch with your ideas and fantasies.**

Whatever your deepest, darkest desires might be. Whatever tantalizing ideas are running through your mind, if you want them written as a steamy piece of erotic writing or fanfiction, then you are in the right place!

Want a celebrity, characters from a show or a book, or maybe to bring your OCs to life? I'm all for it! **Let me know your preferences, fetishes, kinks, and ideas** and we'll make your fantasies come true.

If you have fanfiction based on your comfort character, favourite TV show, or anime that you would want to turn into smut, **I'll write that!**

It doesn't have to be smut. I also write sweet **romance stories** and can help you in your journey to being a published writer

My Gig services:

**· Pain play**

**· Cuckold**

**· Fanfiction**

**· BDSM**

**· NSFW**

**· Humiliation and disgrace**

**· Romance**

**· Comedic**

**· Furry**

**· MFM/FFM**

**· Short story**

**· Novella**

**· Lots more**

I am happy to accept larger orders not listed on my gig page. Please send me a message so we can discuss what you need!

Contact me to get the story of your dreams.","You get a personalized erotic story
1000 words",10.0
I will ghostwrite christian ebook self help book ghostwriter ebook writer ghostwriting,https://www.fiverr.com/marywest2580/ghostwrite-20k-children-ebook-self-help-book-ghostwriter-fiction-ghostwriter?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=8&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=79b922a6-71a9-4600-8134-3efe173454a8,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/379671564/original/c6753858e51fbb71c22f1d493401a19ad5f7e6c3/ghostwrite-20k-children-ebook-self-help-book-ghostwriter-fiction-ghostwriter.png",,"**Hello great buyers! Welcome to my Gig!**

**Unlock Your Potential with a Professional Christian Self-Help Ebook Ghostwriter Ebook Writer !**

Are you seeking a skilled wordsmith to transform your ideas into a captivating book? Look no further! With my expertise as a seasoned book ghostwriter, I specialize in crafting compelling narratives that resonate with readers and leave a lasting impact.

Whether you want a self-help book, christian ebook, christianity , fitness eBook, or any other non-fictional eBook, I got you covered. I take your ideas and transform them into compelling content that engages your audience and leaves a lasting impact. I guarantee that your eBook will be well-researched, grammar error-free, 100% plagiarism-free, proofread, and properly formatted.

*My expertise covers a wide range of niches!*ranging from self-help christian ebooks, Christianity ebook ghostwriting and many more. Whatever topic you have in mind, I am ready to research and adapt my writing to meet your specific needs.

Let's collaborate and create something amazing that will help make the world a better place.

**ORDER NOW!!!**","**BASIC** High-quality ebook, plagiarism-free and copyright transfer. up to 5000 words + bonus",15.0
I will write ghostwrite your childrens storybook picture children story book writer,https://www.fiverr.com/alexrigbybishop/write-or-ghostwrite-your-childrens-storybook-picture-book-child-book-writer?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=9&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=6ed6f01e-6db6-45ee-941e-ce378f83f483,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/363100615/original/50351ed252e4afd716a336f86480736df49270b3/write-or-ghostwrite-your-childrens-storybook-picture-book-child-book-writer.jpg",JUST WRITING,"Hey, I'm Alex Peart-Johnson & I am a **published author, screenwriter, and playwright**. One of my ghostwritten works was **published** and **later turned into a large-scale children's movie!**

**Welcome to The Stardust Experience!**

We are a small team of writers (with an exceptional professional portfolio) working out of a studio near Birmingham in the UK. The Stardust Experience, quite simply, is **the best all-in-one children's ghostwriting service there is**... (we would say that, of course - but check the reviews on our Fiverr page if you don't believe us!)

We don't just create **beautiful, age-specific, exceptional** children's writing, we also offer additional writing services that include everything you'll need for your storybook.

**\*SPLIT-UP PAGES**(*sharing what words go where)*

**\*ILLUSTRATION DESCRIPTIONS**(*to help your artist)*

**\*BLURB & SALES DESCRIPTION**(*back of the book & sales page*)

**\*COPY/LINE EDITING**(*in either US****or****UK English*)

**\*NDA** (*legally appoints you as owner of the work for copyright purposes*)

Feel free to buy a package or reach out if you'd like to chat about your project first! :)

**NOTE: There is an additional fee for rhyming.**","- Up to 1,000 words
- Split over up to 40 pages",175.0
"I will write an original, custom erotica piece for you",https://www.fiverr.com/erikawinter/write-you-a-custom-erotica-piece?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=10&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=67a0f816-bc1b-4cfa-a30e-2023d907323a,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/181803496/original/c278698579917abe6d14232ae408ffbe4dc8e4f0/write-you-a-custom-erotica-piece.jpg",A Flirt,"Always wanted to have **your own personal erotica**? Maybe you have a book prompt and need someone to bring it to life? Hi, I'm Erika and I'm here to help!

I'm a **professional ghostwriter and creative writer with a special focus on erotica**, so tell me about your characters, your scenarios and fantasies. Your content will be as explicit as you feel comfortable with, I want to make something special for you.

Want a celebrity? Characters from a show or a book? Or maybe to bring your OCs to life with a sensual story? I'm all for it! **Let me know your preferences, fetishes, kinks, and ideas,** and we'll make your fantasies come true.

**What to expect:**

* **Quality, engaging, erotic content** catered specifically to your desires
* **Worldbuilding and detailed character development**
* **No judgment and professionalism** from the get-go
* **A unique piece** that reflects your concepts with my personal touch
* **100% human-made**, no AI-generated content
* **Ever-present assistance** with anything you need with **clear communication**

This is a judgment-free zone, so let me know what tickles your fancy. There's very little I don't write about.

**Please leave me a message before placing an order**to make sure I'm the right fit for your ide",A very short story with your characters. Situation and setting up to you.,100.0
I will write your campaign in dungeons and dragons,https://www.fiverr.com/rcernica/write-your-campaign-in-dungeons-and-dragons?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=55c78904a82b4fc984bae831253e87a7&pckg_id=1&pos=11&context_type=rating&funnel=55c78904a82b4fc984bae831253e87a7&imp_id=7caa826f-e836-45cd-beea-39f97af7e33f,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/182959308/original/e2f0793080d7745512fe24d1f6878d678ec35532/write-your-campaign-in-dungeons-and-dragons.png",,"**Hello there, adventurers!**

I am a **Dungeons & Dragons** enthusiast that has been a **Dungeon Master** for close to **10 years.** In this time I have created countless worlds for my **homebrew campaigns** that my friends and playmates have enjoyed greatly! Today, I **will** create **your D&D campaign.**

Whether you don't particularly enjoy official or unofficial campaigns, or consider that you would like a more **personalized campaign just for you and your players,** and don't know where to begin or don't have the necessary knowledge of doing so, **I am here to help create your perfect campaign!**

**In my experience writing D&D Campaigns, I have learned to:**

* **Communicate effectively in order to write a compelling campaign that is tailored to your requirements and needs.**
* **Provide an authentic campaign that integrates perfectly with your D&D World.**
* **Offer periodic and constant updates on the status of my work, so that you are always aware of the progress of your campaign.**

Contact me in order to begin working on taking your **Dungeons & Dragons** **experience to the next level!**",**Homebrew Items and Monsters** In this package you will receive all the necessary writing for homebrew items or monsters.,25.0
