Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will create a dynamic intro and outro,https://www.fiverr.com/vitorgrr/reinforce-your-concept-with-an-intro-animation?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=1&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=2bb5e39e-f65d-4b63-9fe6-8862a5f4be56,"https://fiverr-res.cloudinary.com/videos/so_7.197037,t_main1,q_auto,f_auto/uiafmphjk1hn1ll8u40u/reinforce-your-concept-with-an-intro-animation.png",,"I can create simple custom animations to more complex animations for your video, it all depends on your need and your project.

For the 3 GIG categories, I create a Storyboard before doing the animation.

After the Storyboard created, I animate the elements of the video intro.

You can use the animation in the following items:

YouTube Channel Intro

 For Instagram Stories videos

 For institutional videos

 For presentations

 For promotional videos

 For movies and series

The values of the video intro vary according to the complexity and animations of the elements.

No templates are used, the animations are completely customizable.

Before you buy GIG, please, contact me so I understand your briefing.",**Custom Simple Animation** Attractive animations with simple and clean format.,350.0
"I will create a professional youtube intro, outro or logo animation",https://www.fiverr.com/stepanc/create-a-professional-youtube-intro-outro-or-logo-animation?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=2&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=b672570e-a2ff-4620-9207-39cd5b3f2342,"https://fiverr-res.cloudinary.com/videos/so_0.093451,t_main1,q_auto,f_auto/t4ijzsmbruaf9it3ncts/create-a-professional-youtube-intro-outro-or-logo-animation.png",Up to 10 sec standard animation,"**PLEASE, contact me before you order!**

I would be glad to help you to win new customers with an intro video.

An intro and outro are essential elements of a modern corporate identity. They not only enhance your conversions but also serve as powerful branding tools for your brand.

Just remember, you only pay once for an intro, and you can use it for your lifetime! In this sense, an intro is no less important for your branding than your logo.

Your benefits when you order from me:

* **You get a full (100%) custom video** - I only work with professional animation software, not with cheap browser-based DIY kits

* **Your style preferences will be taken into account** - Just show me videos or graphics you like and I´ll try to work in this style if possible

* **Do you prefer the future-oriented 4K resolution?** - No problem!

* **Do you need the voice over speaker, music & sound effects?** - Just let me know!

Please contact me first if anything not clear!

ABOUT ME

i´m freelancer in videography since 2008 and I´ve studied video production from 2001-2007.

I created my first 2D animation 10 years ago and have been in a never-ending learning process ever since.","icluded a simple logo animation, music and sound effects",390.0
I will animate your custom youtube intro or outro in 2d or 3d motion,https://www.fiverr.com/sergiymoroz/creative-2d-logo-animation?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=3&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=56ff606a-99a0-4aeb-8fd7-bce0e66473bb,"https://fiverr-res.cloudinary.com/videos/so_9.354671,t_main1,q_auto,f_auto/fq8vtdgmiyrit2nktlwv/creative-2d-logo-animation.png",,"**Hi there!**

I'm a **Pro motion designer** with 5+ years of experience and over 700 completed custom projects. I specialize in creating **eye-catching, fully custom YouTube intros and outros** in **2D or 3D animation**, designed to elevate your brand and leave a lasting impression on viewers.

All animations are handcrafted, no templates, to ensure your intro or outro feels unique, smooth, and perfectly matched to your channel identity.

**What you get:**

* Custom-made **2D or 3D intro or outro**
* Unique animations, **no templates**
* Optional sound FX included (Premium)
* Web-optimized delivery in MP4 or MOV
* Square, horizontal, or vertical formats (on request)
* Full **commercial license** included

**How it works:**

1. Send your **logo, text, or idea** (AI, SVG, PNG, PSD)
2. We discuss your vision or preferred style (or you let me handle it!)
3. I animate your intro/outro and send previews + revisions

**You can check some of my works here: *https://bit.ly/3tnojzC***

**FOR CONSULTATION, WRITE TO US**

logo reveal, transparent, loop, brand animation, custom logo animation, professional animation, channel branding, MP4, GIF","**BASIC** 1 revision.
2-5 seconds animation.",300.0
I will create a custom intro outro logo animation,https://www.fiverr.com/stuartkets/create-a-clean-and-minimal-youtube-outro?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=4&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=00b25002-3303-4330-9cf7-7a378b702c1b,"https://fiverr-res.cloudinary.com/videos/so_0.309333,t_main1,q_auto,f_auto/st0zc7fc3sn27v54fdtc/create-a-clean-and-minimal-youtube-outro.png",,"**Fresh, Dynamic and Jaw-Dropping Intro's & Outro's**

They say you will never get a second chance to make a first impression. Give your product/service credibility and professionalism from the get-go with a modern and memorable introduction that's immediately identifiable.

**So, why me?**

I am a motion designer with over a decade of industry experience introducing large brands content to the consumer audience.

**What you get**

* I will provide either **1 Animated Introduction OR Outro Video** that you can include before or after all of your future product/service's video content.
* This can include text or 2D, 2.5D or 3D detailed or flat animated video with music and SFX.

**What do I need from you?**

* **CONCEPT**- Let's chat about what happens on screen when you click play. Not really sure? I'm here to make sure your content makes sense.
* **ASSETS** - Logo, Artwork, Text, Links etc. Whatever you want on screen that I don't have.

**So let's begin**

After our initial chat and locking down the concept I get working on delivering a first draft, we can make any changes or tweaks to create the final product - this makes sure you're happy!",**Simple Flat 2D** 1 X Intro and 1 X Outro - Simple Flat 2D - Music - 5 Seconds each - 720p,400.0
"I will create custom logo animation, intro and outro for youtube",https://www.fiverr.com/brand_star/create-custom-logo-intro-and-outro?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=5&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&fiverr_choice=true&imp_id=8ae87315-b7d5-432d-ab70-2bd89426e2ee,"https://fiverr-res.cloudinary.com/videos/so_73.55477,t_main1,q_auto,f_auto/lre1piwlsbwr24jiarra/create-custom-logo-intro-and-outro.png",FullHD Intro Animation,"Our **Portfolio** http://bit.ly/BrandStarPortfolio

All big **Brands** are recognized by their **Logo**, most of them are static. By adding **Custom** animation to your Logo you automatically stand out from the crowd and become even more recognizable!

If you have a specific idea on how you want your logo to be animated you are at the right place! Don't have an idea? You still are at the right place! **Custom Logo Animations, Intros, and Outros** are our specialties, we've been making them exclusively for 15+ years. We can come up with an eye-catching, spectacular and highly effective animation for your logo.

While Intros are usually at the beginning of the video, outros are at the end and they serve as an additional engagement tool for your followers/clients/subscribers, keeping them invested in your product/content. Outros usually contain all your social media links, previous videos, and a nice ""thank you"" message.

Why choose us?:

* We **don't use templates**
* We can remake your logo into a **3D** one
* Extremely fast revisions and communication

Feel free to **contact us** for custom offers and more info before ordering.","Fully Custom Intro Animation with Sound Effects OR Background Music
(Outro not included)",70.0
I will create 42 amazing animated logo intro video in 24hrs,https://www.fiverr.com/aliexgraphics/create-10-amazing-animated-logo-intro-video-b541?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=6&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=7aa0eafb-5f91-4c94-8d9f-26e5a4199d2f,"https://fiverr-res.cloudinary.com/videos/so_9.547304,t_main1,q_auto,f_auto/xypf6531tm1cjdhufx8o/create-10-amazing-animated-logo-intro-video-b541.png",STANDARD,"**Best LOGO ANIMATION Service On Fiverr**

Full-time brand designer with over 15 years of experience.

Looking for Cool, Clean and Professional Animation Video? Then you are at the right place!

 Present your brand in an engaging and eye-catching way that instantly captures the viewer's attention!

You can use these intros at the start or end of a video or even between the scenes to repeatedly impact the logo in the viewer's mind.

What do l offer in this gig?

* 10/15/ 20 Intro videos (According to the package you select)
* Music included
* Custom Colors
* Super Pixel Video (1080p Full HD)
* mp4 format (other formats on request)
* Commercial Use
* 100% Satisfaction Guaranteed

The video will be YouTube, Vimeo, and Facebook Ready.

**What do you need to send me?**

Transparent Logo in either .png .jpg .ai .ai .eps .pdf or .psd format.

Kindly Note: we don't offer custom intros and project files (.ae files) in this gig. However, if you need custom animation, please contact.

Check my gig extras for more Cool Services!

Feel free to reach out to me you have any questions!

- Try us once and you WILL NOT be Disappointed!",42 Intro Videos for your 1 logo + Sound Effects + Full HD 1080P Express Delivery,5.0
I will do any pixel art 8 bit or 16 bit animation for you,https://www.fiverr.com/saggeseart/do-anamation-in-8bit-pixel-art-desing-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=7&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=454470af-0ada-461b-9875-ee1d64181e33,"https://fiverr-res.cloudinary.com/videos/so_27.617777,t_main1,q_auto,f_auto/ch2jcyfbyxjg3ybxnr1o/do-anamation-in-8bit-pixel-art-desing-for-you.png",SIMPLE LEVEL,"**Please, before making a order, CONTACT ME FIRST, so we can talk about prices and what you want.**

Hi and **welcome**!

I'm a pixel art artist with 7 years of experience working in all kinds of pixel art style such as:

* **Character Animation**
* **Sprites animations**
* **Backgrounds animations**
* **Youtube intros/Outro**
* **Music Videos**
* **Twitch emotes/Stream starting soon, BRB, Stream Ending**
* **Avatar**
* **Sprite sheet**
* **Assets**
* **Sprites**
* **Tilesets**

**I really love making pixel art and I would love to help you make your dreams come true. My main objective will always be the satisfaction of my clients.**

***Music Videos***

I will create unique 2d animated music video or anything you want for you and I'am sure you will be greatly satisfied with my work.

* All delivers are made in a HD MP4 Lossless quality !
* I will make your vision for a music video come true!

**Everything is pixel art style, either 8 or 16 Bit.**

**I can do anything you need for your video games or whatever you need in pixel art style.**

All process will be done with Aseprite and Adobe Premiere, finished artwork will be delivered as a high resolution .

I can do anything you need for your video games or whatever you need in pixel art style.","One animated object/character, very simple. VERY simple background.",10.0
I will create 3d logo animation or intro animation,https://www.fiverr.com/bluedraken/create-3d-logo-intro-animation?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=8&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=5d777c6e-220e-40dc-8690-9c5c741273dc,"https://fiverr-res.cloudinary.com/videos/so_4.672302,t_main1,q_auto,f_auto/ca5l1s6vyfbymp4yhifh/create-3d-logo-intro-animation.png",,"**3D INTRO ANIMATION** - Made with Cinema 4D, Blender and After effects

**---------------Check out my portfolio gallery----------------**

* www.youtube.com/**@bluedraken24**/videos

**---------------------------------------------------------------**

**I Will Create Amazing Logo Intro Animations For You.**

**Perfect For:**

* Your Website
* Your Youtube Channel
* Your Company

**Why me?**

* Professional Quality Work
* 24/7 VIP Service
* Free Revision
* Express Fast Delivery
* Client Satisfaction Guaranteed

**Before Placing Custom Animation Order**

Please Contact Me with details of your project!

**For Best Result:**

* Your Logo File Should Be in High Quality png, psd, ai, eps or pdf Format

**Question?**

Please Contact Us And We Would Be Happy To Help!!!

**Order Now!!!**",**Basic** 1 Intro in Full HD (1080p) + Background Music,10.0
I will create a custom youtube outro endscreen,https://www.fiverr.com/visimatic/create-a-custom-youtube-outro-endscreen?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=9&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=3e3e37d2-a6e4-4730-88c1-9c6159228b2f,"https://fiverr-res.cloudinary.com/videos/so_1.585977,t_main1,q_auto,f_auto/ncrpb5towi0destvek5q/create-a-custom-youtube-outro-endscreen.png",,"Want to keep viewers engaged even after your video ends? I'll design a ***professional, eye-catching YouTube outro/endscreen*** that boosts clicks, encourages subscriptions, and matches your brand perfectly.

* Fully customized to your channels style
* Includes space for subscribe button & video links
* Delivered in high-quality formats (PNG/MP4/GIF)
* Perfect for content creators, vloggers, gamers, and businesses

**What You Get:**

* Custom 5-20 second outro (static or animated)
* YouTube-ready layout (for desktop & mobile)
* Matching your channel colors, fonts & theme
* Optional background music (royalty-free)

Message me now if you have questions or want to get started.

*Please contact me before placing your order*",**BASIC** Perfect for YouTubers who want a minimalist and lightweight endscreen,125.0
I will create amazing logo intro and outro videos for your channel,https://www.fiverr.com/quangnguyen0810/create-custom-intro-and-outro-logo-for-your-youtube-channel?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1de48013b102436aba4eeb0f0e93e24a&pckg_id=1&pos=10&context_type=rating&funnel=1de48013b102436aba4eeb0f0e93e24a&imp_id=197b9bc9-d35b-411c-b45a-f2ed9e8fa1a5,"https://fiverr-res.cloudinary.com/videos/so_0.52505,t_main1,q_auto,f_auto/m5c4hrjxooprwdsgar7h/create-custom-intro-and-outro-logo-for-your-youtube-channel.png",,"Why choose us?:

* We **don't use templates**
* Extremely fast revisions and communication

**Please contact me before order to make sure you can get the exact intro animation you need.**

 How to get started:

1) PLEASE PROVIDE:

- Your brand logo in a vector format: .AI, .PDF, .EPS or high quality layered .PSD.

- If you don't have a vector file of your logo, please contact me before order. Maybe I can vectorize or recreate it.

2) And send me your initial ideas for the animation.

If you have no ideas, you can leave it up to me, I'm very creative.

If you don't have a logo that fits the requirements, contact me and I will help you with this.

**My timezone is GMT+7. I might be sleeping when you get in touch but feel free to leave a message and I'll get back ASAP!**

\*All animations are delivered in. MOV or MP4 Formats.

**I do not provide:**

* **Logo design**
* **3D animation, SVG animation, HTML/CSS animation**
* **Complex Character Animation**

Thank you!",**Basic package** Good for personal (Please contact me before buying),50.0
