Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
"I will produce jingles, intros and outros for podcasts, shows, tv, youtube and more",https://www.fiverr.com/nwolkstein/produce-jingles-intros-and-outros-for-podcasts-shows-tv-youtube-and-more?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=1&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=5df5470b-c2b5-4d65-967a-7759ffc3f86c,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/nwoelw5xiylkewx2lwix/produce-jingles-intros-and-outros-for-podcasts-shows-tv-youtube-and-more.png",Jingle and theme music production,"*\*\*\*CONTACT ME BEFORE BUYING\*\*\**

Portfolio/Reels - https://www.youtube.com/@NathanielWolkstein

I'm a **professional violinist, multi-instrumentalist, orchestral arranger and composer, session musician,** and **producer**. For the last 10 years, I have collaborated with both independent and artists on major labels (**Sony Music** and **Universal Music Group**), and have composed original music for film, television, video games, content creators, ads and everything in between.

With **20+ years of classical music training**, **professional orchestral playing** and **songwriting experience**, I have the ability to musically **shape-shift across genres,**utilizing **live instruments** to create unique and **memorable sounds**.

**""Outstanding, creative violinist and talented composer who delivers excellent musical results.""**

***-*Jorge Meijia**

*CEO and President of Sony Latin and U.S. Latin*

**""Moving, inventive and consistently exhibiting a talented musical sensitivity...Outstanding musicality and expertise performing in many musical styles""**

***-*** **Michael Tilson Thomas**

*11-Time Grammy Award-Winning Conductor*

*Conductor Laureate of the London Symphony Orchestra*

*\*\*\*CONTACT ME BEFORE BUYING\*\*\**","Composition, arrangement, recording, mixing and mastering",300.0
I will produce a pro quality jingle in any genre,https://www.fiverr.com/noaniemusic/we-will-write-produce-sing-a-super-catchy-jingle-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=2&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=ad1237c3-8611-4175-b46b-08f5d8aae455,"https://fiverr-res.cloudinary.com/videos/so_0.0,t_main1,q_auto,f_auto/ajrx52vb76ryviocg4ve/we-will-write-produce-sing-a-super-catchy-jingle-for-you.png",Full Production Jingle,"**PREPARE FOR FUTURE NOSTALGIA WITH A JINGLE FROM NoAnie Music**

As alumni from one of the most prestigious music schools in the world, the **Berklee College of Music**, and notable clients like **The Oakland A's, Denny's, Domino's, MANSCAPED,**producers of **America's Got Talent**, & more, we know audio branding & jingles.

**OUR JINGLES GO VIRAL:**

* Oakland A's: Over **90K views**
* MANSCAPED: Over **100K views**
* Denny's: Over **600K Views**

**WITH A JINGLE FROM US, YOU'LL GET:**

* A catchy pro quality jingle that's unique to YOUR brand in**ANY GENRE**
* Lyrics crafted around **your brand's message**
* The option of a **FREE** voiceover
* A professional jingle duo **w/ years of experience in audio branding & jingles**
* A pro quality jingle that's **viral ad/radio/tv ready**!
* DISCOUNT OFFERS & COUPONS **INSIDE OF EVERY JINGLE ORDER**

**JINGLE SERVICES WE OFFER:**

* Donut Jingles (Sing In - Voiceover - Sing Out)
* Full Sing Jingles (Singing Throughout the Entire Jingle)
* Tagline Jingles (Brand Name & Tagline)
* Audio Ads
* Audio Logo Jingles (no sing)
* Instrumental beds
* Intros/Outros
* & MORE

**FREQUENT JINGLE CLIENTS:**

* Business Owners
* Video Producers
* Marketing Specialists
* Podcasters / YouTubers
* & MORE

Jingle questions? Contact us

-Noah & Steph",Up to 30 Second Commercial Ad with the option of a FREE voiceover!,275.0
"I will record your jingle, advertisement, theme song, intro",https://www.fiverr.com/nicolecarino/be-your-songwriter-pop-edm-country-rock-urban-gospel?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=3&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&seller_online=true&imp_id=e3bcf36f-4add-45d9-8c36-e0a9e2ffb5d0,"https://fiverr-res.cloudinary.com/videos/so_0.694222,t_main1,q_auto,f_auto/wosfuhpli1gulwnhbfzz/be-your-songwriter-pop-edm-country-rock-urban-gospel.png",5 - 15 Second Jingle,"**Why hire just any singer/voiceover artist to be the voice of your show/brand/product/station, when you can work with a 2x Billboard Charting, singer who is ALSO a highly sought-after voiceover artist with 15+ years of studio and industry experience to take your project to the next level?**

Here's how this works - let me know what you would like your jingle to say, whether you want singing and voiceover, all singing, or all voiceover - and I will create a jingle for you! Have something particular in mind? Send me a message with an example of the style you're going for, and I can create a jingle in a similar style!

I record out of my own private, professional studio, and generally can turnaround projects within 48 hours. I also offer 1 day and ASAP delivery if you need it sooner!

Please note that if the jingle is to promote a business/product/brand, commercial rights are required!

If you have any questions, please feel free to send me a message!",A quick jingle that's right to the point! Includes singing and/or voiceover,100.0
I will create an amazing podcast intro music for you,https://www.fiverr.com/skane_music/create-an-amazing-intro-music-for-your-podcast-or-videos?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=5&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&fiverr_choice=true&imp_id=2ee89285-2418-4f91-8451-b98a433ba97d,"https://fiverr-res.cloudinary.com/videos/so_17.680593,t_main1,q_auto,f_auto/tf6wl4hvlnuuanjdpqtu/create-an-amazing-intro-music-for-your-podcast-or-videos.png",,"**CONTACT ME BEFORE ORDERING**

* **Follow the instructions shown in the Requirements section to achieve the best results.**
* **I don't do voiceover nor singing.**
* **Contact me for a custom gig if the packages don't fit your needs.**
* **Contact me for a digital contract certified by Adobe** *(Full legal name and e-mail required)*
* **My portfolio divided by genre:** ﻿https://soundcloud.com/skane\_music/sets

Hey, Skane here.

**Music** is such an **amazing** thing. In the past 9 years as a producer I realized how important it is for anything.

We listen to music since we wake up, while deciding which videos to watch on Youtube, whenever we want to relax and much more, up until we go to sleep.

That being said, the worst-case scenario for a content creator is getting lost in the crowd.

**MAKE YOUR PROJECT MEMORABLE**

**Make the difference** between those who use the same songs over and over and yourself.

**Give your project what it deserves.**

I can help you with that, let's start this journey together.","**BRONZE [Intro]** Up to 1 Instrument.
Exported in MP3, WAV.",50.0
"I will produce 10x spoken radio jingles, dj drops female voice",https://www.fiverr.com/radiojingles/record-5-lines-of-station-ids-dj-drops-or-spoken-jingles?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=6&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=789f0984-5932-4fbd-9711-15bf63bf9386,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/dqknfvag9cp7jnebwww9/record-5-lines-of-station-ids-dj-drops-or-spoken-jingles.png","10 radio idents, dj drops, intro","Using female voiceover in American English accent we will record 10 separate Spoken Lines of Jingles, DJ Drops, Intro, Outros, for Radio Show, Radio Station, Podcast with sound effects underneath.

Please send script of 10 separate lines must be in English, each line not more than 15 words.

Please indicate instruction and or attach audio pronunciation guide for proper names to avoid mistakes.

Please note English in American accent only so foreign intonations or accent are limited.

Modifications cannot be processed if not in original script or instructions or it is not our mistake.

Choice of FX, voiceover delivery and execution is on us based on the format and nature of the script.

(Example script: ""This is the Mix FM Podcast"" or ""You are listening to DJ Max on The Mix Show"")

Script or copy writing is not included, script or lines to be provided by buyer.

Delivery ETA is stated in the gig description.

Intended only for podcasts, radio stations, radio shows, DJs and not for commercial advertisements.

Items will be delivered in 10 separate files in mp3 format or you may request WAV format.","Record 10 Lines of Idents, DJ Drops, Intro, Podcast, Spoken Jingles in US English Female Voice",10.0
"I will produce podcast intro, dj drops, radio imaging, commercials",https://www.fiverr.com/comproduk/podcast-intro-dj-drops-radio-imaging-commercials?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=7&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=bea95751-8c24-456a-b169-c680992a18b5,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/114571080/original/a1484cb98bc5b5c01f2a0b6a6b3d58b081ec3113.jpg","BASIC
PRODUCE 4 DRY DROPS/SWEEPS","**FOR PODCAST INTROS, RADIO COMMERCIALS AND RADIO SHOW INTROS, PLEASE MESSAGE ME FOR A QUOTE**

If you are looking for HIGH QUALITY AND INDUSTRY STANDARD PODCAST INTROS DJ DROPS, RADIO IMAGING or RADIO COMMERCIAL.. You have come to the right place! 
 

I am Paul Ellery a professional audio engineer and work for a popular radio stations in the UK, and exclusively on Fiverr, I can produce very professional, powerful, high quality Podcast Intros/Outros, Radio Sweepers, DJ Drops, Promos, basically anything to do with audio! 
 
MORE EXAMPLES: 
 
Check out my portfolio samples by clicking to the right of the preview screen..  
 
If you're looking for a truly PRO sounding audio piece. THIS is the gig for you!

Let me use my creativity and passion.. to create YOUR perfect audio!  
 
I only use the best quality Sound Effects/Music and work with the highest quality audio production tools and programs! 
 
Feel free to contact me for anything Audio related..

 

* **FOR PODCAST INTROS.. PLEASE MESSAGE ME FOR A QUOTE**

* **Files are separated for free**
* **Different voices available at an extra charge.**
* **i can write you a script**
* **24 hour turnaround available**

For any other audio needs. feel free to contact me!",male or female drop/sweepers in any language with ONLY VOCAL effects. NOT MORE THAN 10-15 WORDS,10.0
I will compose a perfect jingle for your podcast intro or brand,https://www.fiverr.com/darwinsantana/compose-a-perfect-jingle-for-your-brand-or-youtube-intro?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=8&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=55b06f15-7aa6-40c1-9749-fe3338db3626,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/275470289/original/ee3c976a742815fb669854c207c34f863b9c2065.png",10 seconds Jingle,"**Let's work together and make your project go to a higher level.** *I will compose a unique musical piece that is consistent with the message you want to give with your brand.*

1. I will do everything in my power to convey your brand message through music.
2. I love to compose unique music that can stay in people's minds.

**I can record in my studio:**

* *Electric Guitar.*
* *Acoustic Guitar.*
* *Bass.*

**Just send me the references and the concept of your brand so we can start working!**

*You will get:*

* Unique musical **composition for your brand.**
* **Ready** to use **Mix**
* Realistic ***MIDI instruments*** and ***real instruments*** (if the project requires it).
* **All commercial** rights.
* **High quality** audio (format you need).

You won't get:

* Voices recorded by me

**If you have questions, I invite you to contact me before ordering**","10 seconds of an original composition, unlimited instruments",10.0
I will produce a funny theme song or jingle,https://www.fiverr.com/adamblotner/write-and-record-a-comedic-song?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=9&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=cff8313c-ee0d-43de-adc9-03f77fdc0a5f,"https://fiverr-res.cloudinary.com/videos/so_38.993808,t_main1,q_auto,f_auto/yps8elf7re7beseaqfdf/write-and-record-a-comedic-song.png",,"**Stand out from the crowd with a clever, catchy, pro-quality jingle!**

I have trained in musical comedy at **The Groundlings, Second City, and UCB.** My work has been featured by the **NY Times, NY Post, NY Daily News, AdWeek, Time Out, Huffington Post, Funny or Die,** and **Broadway World**.

Order a professional custom jingle to promote your brand, business, podcast, YouTube channel, or just for fun!

* **Jingles**
* **Theme Songs**
* **Intros/Outros**
* **Novelty Songs**
* **Birthday Songs**

All you have to do is give me some basic information about your subject, and I'll provide:

* **Lyrics**
* **Original Music**
* **Male and/or Female Vocals**
* **Voice Over**
* **Broadcast-Quality Recording/Mixing/Mastering**
* **Multiple Delivery Options (Instrumental, ""Donut,"" etc)**

From podcasts to phonebooks, I can make **ANYTHING** funny!",**Up to 30 Seconds** Write and produce a jingle with full band production up to 30 seconds,295.0
I will do your podcast intros and outros better than anyone else,https://www.fiverr.com/yourimagingguy/make-your-podcast-sound-like-a-million-dollars?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=10&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=5d44143c-c90a-4e2f-b204-ba35d568665a,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/hujli9lnevvywkeqf3pq/make-your-podcast-sound-like-a-million-dollars.png",Bronze,"️One of the top-selling, most saved, highest-rated gigs in this category and the numbers speak for themselves. Over 10,000 orders, 7,000+ 5-star reviews. Why? Because I keep it simple:

No hidden fees

No extra charge for music or rights

Fully produced with pro voiceover, licensed music & SFX **(MY voice. NO A.I. CRAP!)**

Use it anywhere podcast, YouTube, radio, Twitch, etc.

**Intro** Your audio first impression. Who you are. What you're about. Why they should listen.

**Outro** Wrap up with a call to action, thank listeners, and build loyalty.

**Promo** A punchy trailer to hype your show and draw new listeners.

**Bumper** Quick 10-15 sec transitions (optional add-on).

**CHECK OUT THE ADD-ONS!** I can give you ***personal*** podcast advice and strategy. Tips to increase audience and monetization.

Whether you're launching or rebranding, I'll help you sound legit, polished, and unforgettable.

Most clients choose the Standard Package - get an intro *and* outro that sound like you hired a whole production team.

You may not be a million dollar brand yet, but I'll make you sound like you are!

**(See add-ons for script writing too!)**","One killer podcast intro - voiced, mixed, mastered to industry standards.",25.0
I will make a rap for youtube channel or podcast,https://www.fiverr.com/burtonm6/make-a-rap-or-instrumental-for-youtube-channel-or-podcast?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=c5cdfdd5decd42ca94efb2f8f3893afe&pckg_id=1&pos=11&context_type=rating&funnel=c5cdfdd5decd42ca94efb2f8f3893afe&imp_id=3f3f728d-a606-439c-a733-961fb77b8937,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/e95ozs3fyna68lz71nrs/make-a-rap-or-instrumental-for-youtube-channel-or-podcast.png",,Do you have a Podcast channel and need an original rap song or instrumental to introduce your show? Does your Youtube channel need a signature short song to help your followers distinguish you from the rest! That is what I am here to do! These days rap is the new pop music. And I want to create something original and unforgettable for your Podcast show and/or your Youtube channel. If you don't need any rapping I can help get an instrumental created that best suits you. So wait no further and let's make some music!,**Standard** Create 15-30 second rap or instrumental for your podcast or Youtube channel,75.0
