Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will record live strings section in professional studio,https://www.fiverr.com/kaskarecords/record-live-strings-section-in-professional-studio-3ea7?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=1&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=2d323a50-e007-481c-a963-9e5a677def8a,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/svknumsfdjxnszlnduhg/record-live-strings-section-in-professional-studio-3ea7.png",Basic,"**Don't make any order before discussion, please!!!**

You need a strings section or a small orchestra with wind instruments for your music? We'll do it for you! Professional, experienced musicians will record a string part of your music. Good sounding studio rooms, good mics and preamps, analog studio console, our taste, and professionalism - that's all for your music. You'll get an HQ recorded multitrack project file(Pro Tools/ Cubase/Logic). We also can help you to make a score(arrange strings) for your music. It's also possible to record wind instruments like flute, oboe, bassoon, clarinets, saxes, trumpets, trombones, etc. Also, orchestra percussion.",Professional string quartet will record your strings part in professional studio. Multitrack,200.0
"I will record live strings for you violin, viola, cello, contrabass",https://www.fiverr.com/beartonic/record-strings-for-you-violin-viola-cello-contrabass?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=2&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=ac91992f-ef62-4dab-9865-9853f9c924f1,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/qujgyuvawi7gnep4sx4y/record-strings-for-you-violin-viola-cello-contrabass.png",SOLO STRING,"Hello I'm Andres! Welcome to my Gig

I'm a music producer, composer and arranger with over **10 years of experience working with orchestral music**.

I can record strings for your project in my acoustically treated studio with high quality microphones, I will deliver clean audio with an **excellent and accurate interpretation** of your music.

Let's make some music !

-Check out my FAQ for more info-

Packages:

**Solo String:**

* up 1 instrument: Violin, Viola, Cello or Double bass (3 takes)
* commercial use
* Stems (3 tracks)

**Medium Strings:**

* up to 4 instruments: Violins 1, Violins 2, Violas and Cellos. (3 takes per instrument)
* commercial use
* Stems (12 tracks)

**Big Strings:**

* up to 5 instruments: Violins 1, Violins 2, Violas, Cellos and Double basses (3 takes per instrument)
* commercial use
* Stems (15 tracks)","up to 1 instrument (Violin, Viola, Cello or Double Bass) 3 takes",50.0
I will record pro horn section for you,https://www.fiverr.com/webermarelysax/record-pro-horn-section-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=3&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=04e94593-d910-438b-87a9-29be3cb321f8,"https://fiverr-res.cloudinary.com/videos/so_3.311056,t_main1,q_auto,f_auto/tqf9fwtehwrwl5modypc/record-pro-horn-section-for-you.png",2 piece horn section with 1 double,"I will record horn section for your project.

you can send us the score, midi file or audio file and we'll record it. We can do the arrangement as well, please consulte me before place an order.

If you need scores from the horn section, I can provide for an extra.

Revision Policy:

If you have a well-defined arrangement with clear indications of what you want recorded in your music, we will gladly do it. If we happen to misunderstand any instruction you provided in the score, we will be more than happy to redo it to meet your needs.

If you have some arrangement suggestions but leave us free to create based on musical references, or completely free to create our vision of the arrangement, and then after receiving the arrangement, you realize you would like to go in a different direction, or start having specific ideas for the arrangement in parts of the music, we understand that you might want to change, and we can make this change, but this work will be charged as an extra.

Our team is composed of highly qualified professionals, and to maintain our competitive price, it is necessary to do our work in an objective manner. Feel free to contact us if you have any questions!","Saxophone (all kinds) and trumpet (and flugel), real instruments",250.0
"I will record brass band or horn section, trumpet, trombone, saxophone",https://www.fiverr.com/artembrass/recording-a-brass-section-trumpet-sax-clarinet?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=5&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&fiverr_choice=true&imp_id=1152db7d-d1b6-47fe-bcd5-a2be2180ea72,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/148342209/original/49d70bf4db0d5b1d1f14841e9c5f78cbb8c4242a.jpg",One riff or melody,"I will professionally record a brass section-including trumpet, Alto saxophone, Tenor saxophone, clarinet, trombone and Tuba.

I work in the CUBASE 11, the UNIVERSAL AUDIO APOLLO TWIN audio interface, the AUDIO-TECHNICA AT4040 microphone.

I'll create for you riff, accompany, melody, solo on any instrument.

I can record brass from your MIDI files or notes.

-STYLES jazz, funk, pop, Balkan, reggae, ska, rock, hip hop, Big Band and others

---- Basic Package ----

Includes a short riff or chords. I will record 3 instruments: trumpet, tenor or alto saxophone, trombone. The amount of recording time is up to 15 seconds.

---- Standard Package ----

Includes a riff or melody, chorus and solo. 3 tracks trumpet, saxophone, trombone. The amount of recording time is up to 1 minute.

---- Premium Package ----

Includes the arrangement of the entire song. Intro, accompaniment, accents, riffs, solo, ending. 4-6 tracks (if you need more we will discuss) trumpets, saxophones, trombones, clarinet, tuba.

I will be happy to discuss with you any questions you may have.

\* Please contact me before ordering the express delivery in gig extras section. Thank You.","I will record simple riff or harmony or melody. 3 tracks - trumpet, trombone, saxophone.",100.0
I will record a killer professional acoustic drum track for you,https://www.fiverr.com/glennwelman/play-drums-on-your-track?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=6&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=a137872e-46a3-4ad9-b2f7-99e827bb37dc,"https://fiverr-res.cloudinary.com/videos/so_0.208613,t_main1,q_auto,f_auto/mxvpaoyjke4yeuimicek/play-drums-on-your-track.png",1x Drum Mix,"Looking for rock drums, metal drums, pop drums, reggae drums, funk drums or any other acoustic drum tracks that are authentic, tight, musical and expertly recorded? Then I am the session drummer for YOU!

I have delivered literally thousands of drum tracks to Artists, Producers, Youtubers and Grammy Nominees from all over the world. I take great pride in producing drum tracks that are well recorded, tight and musical as well as offering excellent customer service.

I am comfortable in many styles from R&B, Motown and Hip-Hop to Funk, Pop, Rock and Metal. I am also able to supply Full HD videos, 4K videos as well as additional percussion through the gig extra's. I can also record using an e-kit and supply you the midi file to add your own sounds to.

I utilize high-end Yamaha Recording Custom drums, Sabian cymbals, Shure mics, Focusrite pre-amps and Slate plugins to ensure an incredible drum sound that you can slot straight into your mix, or using the stems, fine tune and mix according to your needs.

There's plenty more info in the FAQ's section but feel free to contact me with any questions.

https://youtube.com/glennwelman

Glenn :-)",A stereo drum mix as well as a reference mix and 2 revisions. Up to 30 seconds.,15.0
I will record saxophone or clarinet parts in any styles any sax,https://www.fiverr.com/manueltrabucco/record-sax-parts-for-your-session?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=7&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=17de04ec-812e-4fe2-94a9-e457e20680b4,"https://fiverr-res.cloudinary.com/videos/so_2.664022,t_main1,q_auto,f_auto/vodtgc86xm6or7phtqfg/record-sax-parts-for-your-session.png",,"Hello Fiverrs,

my name is Manuel Trabucco and I'm a professional saxophone player and teacher in Italy.

I have a degree in both classical and jazz sax.

I have many work experiences from small groups to big bands. I have worked in Tv shows, jazz clubs, pop gigs and classical ensembles.

I can add my saxophone line to your project by playing licks, solos and melodies. I can play in all styles from jazz to pop, from classical to funk.

***!!!!Before ordering contact me!!!!***

***I CAN SOUND LIKE: JIMMY SAX, KENNY G, WAYNE SHORTER, JOHN COLTRANE, MACEO PARKER AND MANY OTHERS ARTISTS.***

I can record saxophones parts or solos for your track:

- Soprano Saxophone

- Alto Saxophone

- Tenor Saxophone

- Baritone Saxophone

***Before placing your order write me to find the best offer for you***

For more examples feel free to check out my YouTube channel or Soundcloud:

https://www.youtube.com/channel/UCA4JUpB6IM34LlV-0x4MFJQ",**Short saxophone recording** saxophone licks or short solos or your short melody.,15.0
I will record professional piano and keyboards for your song,https://www.fiverr.com/neemiasteixeira/record-professional-piano-and-keyboards-for-your-project?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=8&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&seller_online=true&imp_id=224ee280-7002-46ff-bcda-c066949acebc,"https://fiverr-res.cloudinary.com/videos/so_1.100612,t_main1,q_auto,f_auto/xpenp6p5wlusglk8eipd/record-professional-piano-and-keyboards-for-your-project.png",Piano Track,"**If you have a song and need piano or keyboards on it, I'm the person for you!**

I will replicate a keyboard line you already have or create a new one as needed.

**Whether you have finished arrangement or a rough demo, I can work on it for you.**

I'll also edit all tracks and do a little pre-mixing so you'll only need to worry about puting the tracks into your DAW software and mixing.

Whether it's a piano, synth, organ or orchestra driven song or any other type of sounds you'd like me to record, I will do it.

**At the end of the process, I will provide all individual tracks in 24 bitrate 48k sample rate resolution in wav format + MIDI files with no extra cost! (for sheet music, please see additional fee)**

I'm a classical trained piano player with a Bachelor of Music degree in Piano and over 25 years of experience.

For samples of my work you can check out my portfolio here and also these links below:

* My solo work: https://bit.ly/LaniakeaEP
* My band Sigma Project album: http://bit.ly/RealityField
* My YouTube channel: http://bit.ly/Neemias-YT

Let me help you to have the best possible keyboard line for your song, so feel free to contact me now!",Single acoustic piano recording for your song,15.0
I will record cello for your project,https://www.fiverr.com/yoednir/record-a-cello-section-up-to-5-tracks?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=9&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=ec0b60bc-4dc6-4648-948b-5c7d293fa999,"https://fiverr-res.cloudinary.com/videos/so_9.5825,t_main1,q_auto,f_auto/sxjjwlpsgxrjwvlii5qq/record-a-cello-section-up-to-5-tracks.png",,"Over the past 8 years he has recorded and toured with **Regina Spektor**, **Judy Collins,** Interpol's **Paul Banks** and **Michael W Smith** appearing on their most recent albums and concert broadcasts from around the world. Yoed Nir appears on more than 4000 albums worldwide as a cellist and/or arranger.

Yoed Nir is a **Yamaha Performing Artist**, **Apogee Artist**, **DPA Artist** & **D'Addario Artist**.

He has performed in such storied venues as Radio City Music Hall, Londons Royal Albert Hall, the Sydney Opera House, Carnegie Hall, Alice Tully Hall, and the Rose Theatre at Lincoln Center, to name a few. Yoed has also appeared on The Today Show and The Tonight Show with Conan OBrien (NBC), The Late Show with David Letterman (CBS), Good Morning America (ABC), The Late Late Show with James Corden (CBS), The Late Show with Stephen Colbert (CBS) and Later with Jools Holland (BBC).

Recent session work includes:

-Bridgertone (Netflix)

-Gehraiyaan Title Track (Amazon Prime Video)

-Errol Morris, Wormwood (Netflix)

-Limitless (Netflix)

-Last Breath (Netflix)

-The Quiet One (Apple TV)

-Shadowhunters (Netflix)

-The Circle (Netflix)

-Drug$ (Amazon)

-Who Shot The Sheriff (Netflix)

-Singielka (tvn)

-O mnie się nie martw",**1-2 cello tracks** 1-2 cello tracks of your written part/s or mine.,150.0
"I will record acoustic drums rock pop, funk, blues, soul,disco",https://www.fiverr.com/bernardoyacono/record-drums-for-your-songs-pop-rock?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=10&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=15ec70b7-f1dd-425d-a5fc-d61382fc199b,"https://fiverr-res.cloudinary.com/videos/so_7.748541,t_main1,q_auto,f_auto/iebzlc3xfwc45c2djbws/record-drums-for-your-songs-pop-rock.png",,"**The recording**

Acustic drums -always thinking on the lenguage style and the drum set audio for any song.

I could includ my own interpretation if you need it.

**Drum Gear**: Tama starclassic standar size, and a gretsch jazz size, ludwig vintage big size ,cymbals Zildjian Sabian Soultone ,Amedia and 20 snare option, and the most recording on historia Ludwig suparphonic 70´ different size, dw ,mapex ,pork pie, Dmj, Tama, Pearl,

(To 16 channels, 48khz 24 bit or 44khz) Cubase,focusrite and shure gear

**Be free to ask and contacting me** !!!!!!!!!

www.youtube.com/bernardoyacono",**1 wave drum file To 3 Minutes** A single channel drum mix -wave processed /NO stems,20.0
I will record you professional electric guitar tracks,https://www.fiverr.com/elephantlicks/record-you-professional-electric-guitar-tracks?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6b5448b1a949426fa31eaa6f79475673&pckg_id=1&pos=11&context_type=rating&funnel=6b5448b1a949426fa31eaa6f79475673&imp_id=8d209bb5-edc7-4b32-bdf8-d7ad1e757fbf,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/scuy1ffi3hsohc9x06xj/record-you-professional-electric-guitar-tracks.png",Basic,"I record **professional studio quality** electric guitar tracks.

Credits: The Band Perry, Hillsong United, Vince Gill, Shenandoah, Randy Travis, Marc Martel, Jeff Keith (Tesla), Jamie Jones, Eddie Island, Jessie Paege, Ward Davis.

The standard and premium packages say up to 5 tracks per song but I will record however many tracks/layers are appropriate for your song.

Here's how it works.

1. Send me your basic/scratch track/mp3/youtube link with a detailed description of what you have in mind and a chart if you have it (chart not required).
2. I take your song and write and record a rhythm guitar track(s) as well as any necessary solos/melodic elements.
3. I will send you the high quality mastered WAV files 24bit 44.1khz (or as required) as separated tracks for you or your mixing engineer to have complete control over.

All recorded on high-end custom shop instruments set up properly for a perfectly intonated and clean recording. Executed at a professional level with regard to rhythm and timing (I lock in well with a click).

I love what I do for a living and would love to work on your tune!

-Nicky V

(One song per order)",One track. Single simple track/stem short and sweet. Mp3,75.0
