Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will do the sound design for your game,https://www.fiverr.com/rachelcatlin/do-the-sound-design-for-your-game?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=1&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=f5770f33-36c2-4168-ae5d-74f16fe261eb,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/ftksgdhvbzczbcgj8hxp/do-the-sound-design-for-your-game.png",Small Sound Design Package,"I will do the sound design for your game in a style that matches the environment and further enhances the player's experience. I have created the sound design for a wide number of games, recent examples of which are currently out on both Steam as well as app stores.

If you require more sounds or have certain requirements then do please feel free to message me first. This means that we can really nail the style to help create environment you want and also help come up with a schedule if you are wanting a larger quantity of sounds.",This is aimed at smaller games that require around 20-30 sound effects with variations.,500.0
I will produce custom music and sound design for your film or video,https://www.fiverr.com/mercurimusic/sound-design-voiceover-recording-sound-mixing-and-soundtrack-production?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=2&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=a5325d77-11ce-4336-a7bc-2c6f399855bc,"https://fiverr-res.cloudinary.com/videos/so_70.918055,t_main1,q_auto,f_auto/tj6shgy4ndwfrqapom2s/sound-design-voiceover-recording-sound-mixing-and-soundtrack-production.png",,"**We are a team of sound designers and music composers specialized in audio production and post-production, as well as in creating original music for films, series, TV shows, ads, and digital content.**

Our services cover the full audio spectrum: **soundtrack production, sound design, voice-over recording, sound effects, mixing & mastering, and custom music composition.**

We also offer a **Production Music Library** with exclusive, curated tracks ready to license. And when your project needs something unique, we collaborate closely with you to co-design tailor-made pieces that elevate your vision.

Our goal is to be your creative partner**an alternative to the corporate standardproviding handcrafted soundtracks and designs that enrich and add value to your project.**

**Past clients include artists, directors, agencies, and brands such as Disney, Spotify, JWT, BBDO, Nike, Coca-Cola, MTV, MuchMusic, Bic, Chevrolet, Fiat, Ford, Volvo, Honda and hopefully, you.**",**Sound Design** Basic sound design for projects up to 1:30 in length.,350.0
"I will do pro sound design for your game, video or animation",https://www.fiverr.com/forlai_audio/add-to-your-project-a-unique-sound-future-is-here?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=3&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=439ab0b3-4b03-44c4-9414-e74ab867db06,"https://fiverr-res.cloudinary.com/videos/so_0.552066,t_main1,q_auto,f_auto/v1/video-attachments/gig/videos/0a2116c15c8a47d76bd7578647836ddc-1762447412832/Fiverr%20Sound%20design%20Gallery%20video%20NOV%202025/add-to-your-project-a-unique-sound-future-is-here.png",,"Hi, I'm Antonio (Forlai),

a professional Sound Designer and part of the KANAKA Studio team.

I'm here to bring your audio ideas to life with high-quality, custom sound design!

**What do I offer?**

* I create unique and professional sound design for:
* Video games & apps (UI, SFX, environments)
* Films, trailers & ads (immersive soundscapes)
* ️ Museum installations & video mapping
* Social media promos & reels

**My process:**

1. **Understanding your vision -** Share references, style preferences, and project details.
2. **Sound creation** **-** I craft original sounds using synths, samplers, and foley.
3. **Delivery & revisions** **-** You'll receive high-quality files with options for fine-tuning.

**Why work with me?**

* ️ Detailed, creative sound design
* ️ Unique effects from synths, samplers & foley
* ️ Tailored audio solutions for your project

Check my extras for more options and revision details. Need a custom offer or background music? Message me before ordering!

Ready to start? Place your order **now**, and let's create something amazing!

***Note:*** *A 20% additional fee applies if the work cannot be showcased in my portfolio.*",**Essentials Pack** For a visual up to 10s or 4 simple sfx.,100.0
I will sound design your video,https://www.fiverr.com/evolve_audio/sound-design-your-video?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=5&context_type=rating&funnel=d4527815a818422ca565f175390c581b&fiverr_choice=true&imp_id=4a76d32b-31b8-4949-8f5e-4deeea2b313e,"https://fiverr-res.cloudinary.com/videos/so_24.1440222,t_main1,q_auto,f_auto/niaymcgqsdlgyo4qrfmv/sound-design-your-video.png",Short video,"Industry professional with over 8 years in the music, audio and postproduction industry - providing music and sound design for clients such as: Just Eat, IWC Watches, E4 and Cambridge Audio.

**Immersive,** **impactful** and **creative** sound design will instantly and dramatically raise the quality of your project.

Contact me if you need foley, environmental ambience or sound effects for your:

* Trailer
* TV / radio commercial
* Socia Media advert
* TV show
* Short film
* Podcast

Fast turnaround whilst **NEVER** compromising on quality. Please **get in contact** if you have a specific budget or deadline - I will always try to accommodate where possible.","sound design for video of up to 25 seconds. Ad, ident, trailer or animation.",55.0
I will do sound design mix and master your video,https://www.fiverr.com/shehangunathila/do-sound-design-mix-and-master-your-video?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=6&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=b9e0928f-f0a2-4dde-80de-994913d60399,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/w7pqxm5ep0zri1kxhqxc/do-sound-design-mix-and-master-your-video.png",5 Sec SOUND DESIGN & AUDIO POST,"If you're a creator seeking powerful sound design for your work;

If your video requires great sounds for the final touch;

Most importantly, if you are aware that sound design is an essential component of every visual production,

Then, this gig is perfect for you because it means you treat your creative content as seriously as I do!

**This gig is suitable for:**

* Short films.
* Trailers.
* YouTube Content.
* TV commercials.
* Social media ads.
* Corporate videos.
* Promo videos.
* Documentaries.
* Animations.
* Animated explainers.
* Everything that needs great sounds

**What I offer:**

* Sync audio and video.
* Voiceover and dialogue audio editing & cleaning.
* Foley and SFX.
* Realistic background ambiances.
* Music editing and mixing (must be provided by you).
* Full audio post-production.
* Stereo/Mono 48 kHz/24bit .wav or Mp3 file.

What I don't offer:

* Video editing.
* Original music composition.
* 5.1 Surround mix.

**Why me?**

I will treat your work as if it is my own work!

& you will receive specific attention based on the requirements of your creative project.

**Let's discuss your project,**

﻿

Shehan **:)**",Basic Sound design and audio post-production for up to 5 Sec of video.,5.0
"I will sound design, sound effects for game, video, animation, film",https://www.fiverr.com/despiczeljko/make-sound-effects-for-your-project?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=7&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=06db1b52-3f5a-4f55-8399-1ece11e547da,"https://fiverr-res.cloudinary.com/videos/so_5.520797,t_main1,q_auto,f_auto/tpcgdisitsecd54yv3rk/make-sound-effects-for-your-project.png",,"I will create, or modify stock royalty-free sound effects - **commercial use -** foryour project. I will provide you with high-quality, professional-sounding sound effects. Anything you can imagine!

Please **CONTACT ME** so we can discuss the details and actual prices that depend on the complexity of your project.","**Sound Design (10sec) or SFX pack** Unlimited sound effects for your 10sec video.
Or 4 Sound Effects Pack",10.0
I will make the cry of your fakemon,https://www.fiverr.com/lmzproduction/make-the-cry-of-your-fakemon?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=8&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=dc87c3b9-536c-4c37-a617-c49178123b1b,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/256316542/original/b91f0462219f14f0053adacc19a344665bb8a05d.png",1 cry,"Hello ! In addition to make pokemon music, i'm also able to design your fakemon's cry.

I just need to see how your fakemon looks and i try to create a cry that matches his physic.

feel free to have a look at my other gigs :)",Contact me if you have any question,5.0
"I will create pro sound design, sound effects for your game or app",https://www.fiverr.com/markshwedow/create-catchy-sound-effects-for-your-video-game?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=9&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=1ccb7f53-5117-467d-954e-0953f7b3adb5,"https://fiverr-res.cloudinary.com/videos/so_0.406394,t_main1,q_auto,f_auto/qrodnqywccq3fg8tfz2v/create-catchy-sound-effects-for-your-video-game.png",,"Hi! I'm Mark - a **sound designer, composer and audio engineer** with **10 years of experience** and more than **1400 orders completed on Fiverr**, owner of **Lineout sound design studio**.

**Within this gig you can order:**

* **Any CUSTOM number of sound effects** for your game or app
* **Background music** or **Ambience** for the great atmosphere of your game (***as an extra***)

I've worked on games and apps of any kind and genre, you can be sure of the **top quality sound and detailed approach**!

**YOU WILL RECEIVE:**

* Sound effects or music tailored to your game or app
* Delivery in agreed time
* High quality sound
* Royalty-free commercial use

**EXAMPLES:**

**SOUND EFFECTS:** please check my gig portfolio

**BACKGROUND MUSIC** https://soundcloud.com/lineoutstudio/sets/background-music

**AMBIENCES** https://soundcloud.com/lineoutstudio/sets/ambiences

**Please note:**

* My packages include **one-shot SFX**, if you need looped sounds, background music or ambience, please contact me first to discuss the details.

Thank you and looking forward to working with you!",**5 sound effects** 5 custom-made SFX (one-shot sounds). Commercial use/royalty free.,100.0
"I will do sound design, foley, mix 51, stereo, dolby for your video",https://www.fiverr.com/davidbass12/do-sound-fx-foley-mix-dialogue-edit-for-your-video?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=10&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=5c4521f9-35ef-40a6-a08f-15dc8f30dfcd,"https://fiverr-res.cloudinary.com/videos/so_2.667215,t_main1,q_auto,f_auto/hiuksa8pn9tpzrpqgzps/do-sound-fx-foley-mix-dialogue-edit-for-your-video.png",,"**WELCOME TO DA2 RECORDS**

*An Award-Winning Professional Audio Post-Production Studio*

**SEND ME A MESSAGE BEFORE ORDERING** We'll align on **scope, pricing, and timeline.** *(Prices vary based on project complexity.*

**DA2 Records** is a **professional audio post-production studio** founded and led by **David**, an award-winning **Sound Designer and Audio Engineer** trusted by **directors, studios, and producers worldwide.**

We specialize in **cinematic audio** for **films, documentaries, commercials, series, games, and animations.** From **sound design** to **dialogue editing and final mixing**, we deliver **industry-standard post-production** that elevates your story and immerses your audience.

**SERVICES**

Sound Design

Foley, Ambience & SFX

Audio Repair & Restoration

Mixing & Mastering (**Stereo, 5.1, Dolby Atmos**)

*5.1 and Dolby Atmos mixes available at an additional cost*

**DELIVERABLES**

Final WAV synced to picture

Reference video mix

Stems & M&E (Dialogue, SFX, Music, etc.)

**PROJECT OVER 7 MINUTES?** Let's talk I'll tailor a **custom offer** for you.

Bring your project to life with **world-class sound** from **DA2 Records.**

**Portfolio:** fiverr.com/users/davidbass12/portfolio

**IMDb:** imdb.com/name/nm11894404","**Small Project (0 -1:00 Min)** Foley & Sound Effects,Audio Cleanup, Sound Design and ST Mix",70.0
"I will do sound design, sound effects, sfx for your games and apps",https://www.fiverr.com/marcelo_racca/design-and-produce-sound-effects-for-your-games-and-apps?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=11&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=64606b5e-48c2-44a2-a345-cf56ab26a450,"https://fiverr-res.cloudinary.com/videos/so_46.616665,t_main1,q_auto,f_auto/mwzmjasqfqphacmk9e9f/design-and-produce-sound-effects-for-your-games-and-apps.png",SFX Design - Small Production,"Do you want to spice up your new App, Game or Interactive project with great sounds?

I can design and deliver all the high-quality exclusive audio assets you need. So you can breathe new life into your: **UI**, **Game Audio, Streaming Channel** and **Podcasts**.

I have **15 years** of experience in sound design and audio post production. I have been designing for **Disney** Latam, a multitude of **advertising** clients, **apps**, **games** and **interactive projects for the web. Let me help take your project to the next level!**

**I offer solutions for all your audio requirements!**

* **UI / Notification sounds**
* **UI / In-Game sounds**
* **Twitch / YouTube - Streaming notifications**
* **Meditation channel sounds**
* **Loops and ambience sounds**

Always:

* Royalty-free sfx, commercial use
* Fast and professional service
* In Sync with your video reference

***This gig is for sound effects, not background music.*** ***If you have any special requests***or you are struggling with **setting up an order that matches your needs** or you have any questions: **Don't hesitate to contact me!** I'll set up a ***Custom Order*** that fits **exactly what you are looking for.**

Check the FAQ for more details!",I will design and produce original sound assets for your interactive project.,35.0
I will create sound effects for your game,https://www.fiverr.com/vadimtsimbalyk/create-sound-effects-for-your-game?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=12&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=9b941742-8e36-487c-b817-3bf39849b8b7,"https://fiverr-res.cloudinary.com/videos/so_0.671081,t_main1,q_auto,f_auto/fgfgffcnxd8kngi2ddfr/create-sound-effects-for-your-game.png",,"**What I Offer:**

* Game-ready SFX (UI, footsteps, combat, magic, creatures, etc.)
* Realistic Foley sounds recorded and edited with care
* Sci-fi and abstract synthesized effects
* Designed layers for maximum impact and clarity
* Tailored revisions to match your vision
* Ambiences",**5 assets** 5 custom high resolution sfx,40.0
I will do sound design for your video including sfx and music,https://www.fiverr.com/freaksd/add-sound-effects-to-your-video?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=13&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=b4fdddb1-e33f-4a8d-9b7c-575992eab805,"https://fiverr-res.cloudinary.com/videos/so_64.639372,t_main1,q_auto,f_auto/v1/video-attachments/gig/videos/ca36aeeb56b805a8fc0e7ba265178b77-1763056449589/compilado%20sound%20design/add-sound-effects-to-your-video.png",10 Min Video,"**We will make the sound design of your video!**

* Creating ambiences
* Adding and synchronizing the necessary sound effects
* Editing and mixing existing tracks (such as dialogue)
* Adding royalty-free music tracks that complement your video's style and tone

**How does it work?**

You send us your video, we do the sound design, and we send you the final audio, synchronized, mixed and mastered.

Please note that we do not provide video rendering services!

Contact us and tell us about your project!",Sound Design for your video up to 10 minutes long,200.0
"I will mix your film or animation in 5,1 surround sound or stereo",https://www.fiverr.com/studiolo1/mix-your-film-or-animation-in-5-1-surround-sound-or-stereo?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=d4527815a818422ca565f175390c581b&pckg_id=1&pos=14&context_type=rating&funnel=d4527815a818422ca565f175390c581b&imp_id=91d4d088-09fc-4695-834c-e3911faa9d89,"https://fiverr-res.cloudinary.com/videos/so_73.367978,t_main1,q_auto,f_auto/t1niie2lwhcbs1vkk418/mix-your-film-or-animation-in-5-1-surround-sound-or-stereo.png",small project,"**Welcome**! Im **BREGO**, a seasoned sound designer and audio engineer with over 20 years in the industry. Whether you're working on a film, short film, TV show, commercial, animation, or game, I can elevate your project with professional audio post-production.

**Services Offered:**

* **Dialogue Editing**
* **Foley, Ambience, and Sound Effects**
* **Sound Design**
* **Stereo Mixing**
* **5.1 Surround Mixing** (Optional)
* **Audio Cleaning and Repair**
* **Mastering for Broadcast, Social Media, Theaters, and Online Platforms**

**What You Can Expect:**

* **High-Quality Audio**: Clean and professional sound delivered in lossless .wav files.
* **Detailed Sound Design**: Immersive audio that enhances your project.
* **Final Mixes**: Available in both 5.1 Surround Sound and Stereo.
* **Project Stems**: Separate audio tracks for flexibility in future edits.

**Please send me a message before placing your order** so we can discuss your specific needs, pricing, terms, and timelines. This helps ensure a clear understanding of your project and allows me to provide the best possible service.

**Lets create something amazing together. Your satisfaction is my priority, and I look forward to helping you bring your vision to life.**","(0-1:00min) Foley & Sound Effects,Audio Cleanup, Sound Design and Mix",150.0
