Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
"I will record deep, male, epic movie guy voice over",https://www.fiverr.com/beflythis/bassy-deep-movie-guy-professional-voice-over-artist?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=1&calc=150&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=814c8dea-24ae-4b0e-8ff8-2d2807523868,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/109921162/original/c96424e75efc6548feadecf2dd46a804c64137e2.jpg",Voiceover,"**Hey!** I'm John Dyer, a Canadian voiceover artist who works with some of the world's foremost brands including:**Audi, Dodge, McDonalds, Chrysler, KitKat, Nivea, Gillette, Lenovo, Subaru, Hayabusa,** and more**.**

**Why me:**

**·  Iconic baritone sound, with unrivalled, natural, silky depth**

**·  Neutral Canadian accent** (native English with no dialect)

**·** Ad Agency and **Fortune 15 Corp Comms background** to know what your project needs

**My Studio:**includes a **Shure SM7b shotgun mic with Stedman pop filter, UA Apollo Solo Pre-amp** with custom vocal chain and a sound treated home studio with a **natural sound floor of -53db**.

**Post-Production:**I use industry-grade software for **EQ**, **compression, breath control**, **mouth clicks, plosives** and more.

**Choose Your License Below (per video):**

**· Commercial Rights (term based):** Internal use only (e.g. unpublished presentations or events) - required for all jobs. Additional usage extra.

**· Social Rights (term based):** **Paid** or **unpaid** social media platforms only**.**

**· Broadcast advertising / TV / Radio Video Games:**Enquire.

\*\*Special promo or bulk usage rights may be available upon request\*\*",,180.0
I will record a professional english american male voice over,https://www.fiverr.com/topvox/provide-studio-quality-voice-overs?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=2&calc=150&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=dec6e209-1854-4269-80c0-7a895b87b09d,"https://fiverr-res.cloudinary.com/videos/so_2.073225,t_main1,q_auto,f_auto/xe3siozuv3tpjtbgigkg/provide-studio-quality-voice-overs.png",,"Hello! My name is Jeff Augustine. If you are reading this, you don't just need a voice...you need a ***storyteller***. You someone who can take your words on paper and ***bring them to life*** with a passionate, persuasive voice performance about your product or service.

I've been **trusted** by people and companies ***all over the world*** to tell their stories...and I'd love to tell yours!

So if you're searching for a conversational, improvisational, natural, spontaneous, funny, genuine, friendly, easy going, guy-next-door read, you've found your guy!

**GIG DETAILS**

* $100 for scripts 1-100 words in length
* Additional words at $25 per every 25 words
* **Commercial Rights** covers **ONLINE USAGE** (i.e. YouTube, Facebook, X, Instagram, other social channels, websites, etc.)

**VOICE OVER SERVICES OFFERED**

* TV/Radio Commercials
* Corporate Narration
* E-Learning
* Kickstarter Videos
* Video Game Characters
* Message On Hold
* Explainer Videos
* Podcast Intros/Outros
* TV Promos
* YouTube Channels

**NEED IT SUPER QUICK?**

* **24** **hour** and **8 hour** delivery available

**EASY TO ORDER**

* Enter word total of your script in the ""number of words"" box when ordering and that will give you a total

**QUESTIONS??**

Reach out ***anytime*** to discuss your project!!",**Voiceover**,140.0
I will record a female american voiceover fast in 24 hours,https://www.fiverr.com/nicolecarino/record-a-professional-american-female-voiceover?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=3&calc=200&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=f8463338-e625-448a-bb84-eab00d190d4a,"https://fiverr-res.cloudinary.com/videos/so_0.684,t_main1,q_auto,f_auto/tq4uk4dsic38t4mvtgte/record-a-professional-american-female-voiceover.png",Voiceover,"**Need a high quality, professional American female voiceover RIGHT NOW? You've come to the right place!**

I am a Nashville-based recording artist and voiceover actor with over 15 years experience. My work has been featured in children's movies, by Fortune 100 companies, radio, TV & more. I work out of my own private, state-of-the-art, sound-treated studio.

In this gig, I will deliver your voiceover within 24 hours.

Need it even faster? Check the ASAP box and I will place your order to the front of the line!

(see my FAQ for more info) 

I record:

* voicemails
* audiobooks
* explainer videos
* instructional guides
* Podcasts
* TV / Radio Commercials
* DJ Drops
* YouTube Videos
* Real Estate Videos
* Tutorials
* Presentations

--

If you need a custom order, contact me for a quote!

**You may be required to purchase a commercial or broadcast license:**

* Broadcast License: Provides full broadcasting rights (buy-out) for advertising products or services in paid broadcasting channels (Radio, TV and Internet)
* Commercial License: Provides rights (buy-out) for for advertising products or services in non-paid broadcasting channels, (Social Media, etc)

Still Shopping? Don't forget to ️ favorite this gig for later!",,200.0
I will record the best italian male voice over,https://www.fiverr.com/eliopagano/record-a-professional-quality-italian-voice-over-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=5&calc=200&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&fiverr_choice=true&imp_id=1711692e-ef16-436f-8491-ac1a0d1e6cea,"https://fiverr-res.cloudinary.com/videos/so_0.0,t_main1,q_auto,f_auto/vc0ttmwi3cfvek3zthtt/record-a-professional-quality-italian-voice-over-for-you.png",Voiceover,"**Delivery in 12/24 hours? Check EXTRA FAST!**

Hi, I'm Elio, professional Italian voice actor for over ***15 years***!

Trusted by clients like: **Lamborghini, Alfa Romeo, Mercedes-Benz, Google, Amazon, Kinder, Kellogg's, FAO, Cattolica Assicurazioni, Milwaukee, eToro** and many more!

Do you need an Italian or English voice over for your TV commercials, e-Learning or YouTube videos?

I'll be your convincing Italian voice!

**VOICE FOR:**

* TV or Radio Commercials
* YouTube Videos
* Movie trailer
* Documentary
* E-learning
* Explainer videos
* Podcast
* Phone Messages/IVR
* Narration
* Dubbing
* Videogame
* Audio guide
* Audio book

**HOW TO ORDER:**

* Type the **exact word count** of your script into the ""Number of Words"" box when you order
* You can check your word count here: **https://wordcounter.net/**

**CHOOSE YOUR LICENSE:**

* **Basic Rights:** NOT products or service - Internal/Web NO AD
* **Commercial Rights:** Web/Events NO AD
* **Web Rights:**Web/Events AD (NO Netflix/Amazon Prime/Now Tv)
* **Full Broadcast Rights:** TV/Radio/Web AD

**NEED HELP?**

* If you need help with anything or for custom orders, just contact me and I'll respond quickly
* Please read my FAQ section below before ordering

**Is your script long? No problem, I will find the right price for you!**",,20.0
I will record a natural american female voiceover today,https://www.fiverr.com/ivettexo/record-a-professional-female-voice-over?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=6&calc=200&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=bdd74a73-2e79-434c-b3d4-4380f8ea61d2,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/106199487/original/bdf0aff8be97a5e82328186d3e7400772d276f93.jpg",,"Need a professional, natural-sounding female voiceover in 24 hours? Order now, and I'll get started right away! For a limited time, I'm offering my services at just $5 per 100 words one of the best rates on Fiverr!

I specialize in:

* Tutorials
* Dubbing
* Whiteboard Animations
* PowerPoint Presentations
* Voicemail
* Anime & Cartoons
* Narration & Audiobooks
* eLearning & Explainers
* Podcast Intros & Producer Tags
* Video Games & Impersonations
* YouTube & TikTok UGC Voiceovers
* ASMR

**Please provide details on pronunciation, pace, tone, and content type (video, audiobook, etc.) when ordering.**

**I'm excited to bring your project to life!**",**Voiceover**,10.0
I will record top quality professional greek voice over,https://www.fiverr.com/vlavogelakis/record-proffesional-greek-voiceovers?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=7&calc=225&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=1caa7fbf-f320-42d0-b0bf-8859996695f5,"https://fiverr-res.cloudinary.com/videos/so_73.708885,t_main1,q_auto,f_auto/ukg7ztorsrv6j1vgdgkl/record-proffesional-greek-voiceovers.png",,"**\*PLEASE ALWAYS CONTACT BEFORE ORDER!**

**\*\*DO NOT CONTACT OR ORDER FOR AI VOICE CLONING - ATTEMPTS WILL BE REPORTED**

**-Top quality, warm, crispy, detailed sound** from one of the **top professional Greek male voices!**

Working **for over than 20 years** as a Voice actor, as a radio host and on TV as a creative writer. I record in my own **High End Studio** with **NEUMANN TLM67 and TLM103, VANGUARD V13, Warm Audio WA87, Advanced Audio CM87**mics, **UNIVERSAL AUDIO** and**Golden Age** Preamps**, MOTU 8pre es, SPL Crimson and Roland**Audio Interfaces.

**\*BASIC GIG** includes 150 words HQ wav, **WITH BASIC COMMERCIAL RIGHTS:**

* Web use on your own site *(****not paid*** *social media promotion)* | Phone messages

**For RADIO & TV broadcast** please add:

* **Radio Broadcast rights** for Radio Broadcast in Greek cities and Cyprus
* Add **TV Broadcast rights** (Select region)
* **Full Broadcast Rights** for full buy out!

* **For - E-learrning projects, audio guides and Audio Books check out my other GIGS!**

**NOTE:**If you need a fast delivery, please contact me to check availability.

**Available for:**

* YouTube Video
* Explainer video
* Online projects
* Phone greetings
* On hold Message
* Radio-TV Commercials
* Business Training tutorials
* Audio Book
* Narration",**Voiceover**,60.0
I will record in a charming female german voice over,https://www.fiverr.com/weltmannvoice/produce-a-female-german-voice-over-in-a-charming-voice?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=8&calc=150&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=fff32e53-a181-4619-a061-f098b1fbc54a,"https://fiverr-res.cloudinary.com/videos/so_3.0685,t_main1,q_auto,f_auto/qqi3e29iqljsvknk1ou6/produce-a-female-german-voice-over-in-a-charming-voice.png",,"+++PLEASE READ ""ORDER DETAILS"" BELOW+++

Hi there,

my name is Constanze Weltmann and I'm looking forward to working with you.

Feel free to contact me at any time and we will discuss all the details together.

What can you expect from me?

50 words for only $10 - every additional 25 words $10

Fast delivery (<24H costs $50)

professional audio quality (WAV and MP3)

script proofreading (any length)

Rights are added on top, please note! :)

Are you looking for the best service? Then you've come to the right place.

----------------------------------------------------------------------------------------

+++BITTE LEST EUCH UNBEDINGT ""ORDER DETAILS"" WEITER UNTEN DURCH+++

Hi ihr Lieben,

mein Name ist Constanze Weltmann und ich freue mich auf die Zusammenarbeit mit Dir.

Kontaktiere mich gerne jederzeit, wir besprechen dann alle Details gemeinsam.

Was Du bei mir erwarten kannst?

50 Wörter für nur $10 - je weitere 25 Wörter = $10

schnelle Anlieferung (<24H Anlieferung kostet $50)

professionelle Audio-Qualität (WAV und MP3)

Skript-Korrekturlesen (in jeder Länge)

Rechte kommen on top dazu, bitte beachten! :)

Du suchst den besten Service? Dann bist Du bei mir genau r",**Voiceover**,50.0
"I will record millennial, urban voiceover",https://www.fiverr.com/americasvo/record-a-professional-african-american-male-voice-over?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=9&calc=150&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=efbebbb2-de4c-4678-8540-a3eff8d1aa2a,"https://fiverr-res.cloudinary.com/videos/so_0.416355,t_main1,q_auto,f_auto/b7slaryl49dwpxiyzzcm/record-a-professional-african-american-male-voice-over.png",Voiceover,"Professional American, male Voice Over that delivers fast voice recordings in under 24 hours! Relevant Categories include: Millennial, Gen Z, Urban, African American, Young Adult, and many more.

**WHO IS BRANDON?**

I will provide you with voice over audio for your next eLearning video, TV and radio commercial, tutorial, dubbing, phone system and IVR, explainer video, or audiobook. Voice Over Youtube available as well.

Tones: Warm, friendly, trustworthy dad, confident, casual, conversational, natural, engaging, authentic, cool, smooth, and deep.

**WHAT YOU'LL GET WHEN YOU BOOK ME**

️ **High quality, edited audio** recorded in a professional home studio

️ **24-hour delivery** for scripts under 300 words (48-hour delivery for longer scripts)

️ **Free unlimited tone revisions**

️ **Excellent communication**

**MY WORK**

**Past clients:**

Netflix, Nike, Boeing, Visa, VRBO, US Gov't, Shell, Sab Miller, and tons more with many small business as well.

*Unique Project and requirements? Please Message me for more information on pricing, delivery windows, or anything you need.*",,100.0
I will record a professional british female voice over in english,https://www.fiverr.com/emmatopping/record-a-professional-british-female-voiceover?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=10&calc=200&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=486e2d55-d8f3-4d50-bfea-83e38e1fabad,"https://fiverr-res.cloudinary.com/videos/so_0.277683,t_main1,q_auto,f_auto/f9givpbwtgqxippahvdf/record-a-professional-british-female-voiceover.png",Voiceover,"Hi, I'm an award-winning, **full-time professional**, British female voice over.

From my studio, I provide broadcast-quality audio to some of the world's biggest companies.

Recent clients include: **Netflix, Disney, Amazon, Google, Microsoft, FIFA, GoDaddy, PayPal, Fedex and many more.**

I pride myself on **exceptional client care**, and go above and beyond to ensure your voice over exceeds your expectations. **I am very flexible with revisions and will never leave a project until you are completely 100% satisfied.**

Many of my clients return again and again, knowing that my service is quick, accurate and of the highest quality.

That's why **major brands** trust me to deliver:

* Corporate and website videos
* Radio & TV commercials
* eLearning courses
* Documentary narration
* Phone voicemail and on-hold messages
* Explainer videos
* Promotional spots
* Game characters
* Voice of God / conference announcements

If you need **a warm, believable and trustworthy voice with an RP/neutral British accent** to add to your next project, I'd love to work with you.

**Click the heart to bookmark me for future jobs!**",,50.0
I will record deep american black male voice over by african american male voice actor,https://www.fiverr.com/stephygarcia/record-deep-american-black-male-voice-over-by-african-american-male-voice-actor?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=05f87ac8a7f14af297e23075d322a136&pckg_id=1&pos=11&calc=200&context_type=rating&funnel=05f87ac8a7f14af297e23075d322a136&imp_id=ea331105-ae91-45bb-b8d9-387c472e65de,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/rculcvq8bvcrhytolst8/record-deep-american-black-male-voice-over-by-african-american-male-voice-actor.png",Voiceover,"Welcome to my professional Voice Over Services! I specialize in providing high-quality voiceovers in a deep, african-american black male voice with a standard American accent.

I guarantee on-time delivery and offer an extra fast option for a 24-hour turnaround time.

I am capable of providing the following services:

-Commercial voiceovers

-Radio or TV ads

-Explainer videos

-E-learning course narrations

-Audiobook narrations

-Podcast introductions and outros

-Phone greetings

-Interactive Voice Response (IVR) recordings

However, I am not able to provide character voice acting services.

Before placing your order, kindly drop me a message to discuss your requirements. Additionally, I offer a range of extra services such as timing match, proofreading, background music, and split files to enhance your voiceover.

For further information on my delivery time, rates, availability, and revision policy, please refer to my FAQ section. If you have any further questions, feel free to contact me.

I am excited to work with you!

Damon",,40.0
